lat	lon	sza	on2	doy	points	d_lat	d_lon	ut	day	month	year	orbit
-89.117645	87.35294	0.0	0.20385697	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	89.117645	0.0	0.20475945	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	90.882355	0.0	0.20566598	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	92.64706	0.0	0.24747261	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	94.411766	0.0	0.2074832	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	96.17647	0.0	0.20838884	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	97.94118	0.0	0.0019750297	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-89.117645	105.0	66.730125	0.03326291	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-89.117645	106.76471	66.686806	0.13206363	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	108.52941	0.0	0.018569738	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-89.117645	110.29412	66.65576	0.07369891	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-89.117645	112.05882	66.51377	0.09717649	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	113.82353	0.0	0.022699267	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-89.117645	115.588234	66.46945	0.45391306	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	117.35294	66.4068	0.18345168	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	119.117645	66.34282	0.16636813	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	120.882355	0.0	0.21735945	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	122.64706	0.0	0.21708438	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	124.411766	66.29881	0.05543235	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	126.17647	66.26721	0.12782705	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	127.94118	66.18881	0.67430115	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	129.70589	0.0	0.20900437	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	131.47058	66.20401	0.20139405	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	133.23529	0.0	0.21337268	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	136.76471	0.0	0.23623106	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	138.52942	0.0	0.28587636	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	140.29411	66.12016	0.2576246	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	142.05882	66.07761	0.43911317	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	143.82353	65.91037	0.11087158	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	145.58824	0.0	0.15404621	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	147.35294	0.0	0.32838336	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	149.11765	0.0	0.32917634	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	150.88235	65.954445	0.4854196	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	152.64706	65.77277	0.330241	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	154.41176	0.0	0.28416136	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	156.17647	0.0	0.2896072	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	157.94118	0.0	0.17763057	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	159.70589	65.64883	0.33058086	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	161.47058	0.0	0.1594396	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	163.23529	0.0	0.37878403	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	165.0	0.0	0.37788978	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	166.76471	65.44986	0.5040394	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	168.52942	65.53738	0.104577094	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	170.29411	0.0	0.14395249	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	172.05882	0.0	0.14096117	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	173.82353	65.31039	0.13775003	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	175.58824	65.477585	0.37298855	001	2566	1.7647059	1.7647059	-0.18612671	1	1	2005	16602
-89.117645	177.35294	65.520485	0.22503778	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	179.11765	0.0	0.1701127	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	180.88235	0.0	0.18004408	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	182.64706	66.97091	1.1307949	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	184.41176	65.44995	0.6693193	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	186.17647	0.0	0.20766756	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	187.94118	0.0	0.21623233	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	189.70589	0.0	0.22451094	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	191.47058	0.0	0.5332513	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	193.23529	0.0	0.5369917	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	195.0	0.0	0.573038	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	196.76471	0.0	0.57267964	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	198.52942	0.0	0.57231927	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	200.29411	0.0	0.46055415	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	202.05882	0.0	0.45409313	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	203.82353	0.0	0.44743553	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	205.58824	0.0	0.4405928	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	207.35294	0.0	0.43357727	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	209.11765	0.0	0.42640176	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	210.88235	0.0	0.41907945	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	212.64706	0.0	0.41162363	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	214.41176	0.0	0.40404764	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	216.17647	0.0	0.39636454	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	217.94118	0.0	0.38858667	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	219.70589	66.86431	0.11667746	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	221.47058	0.0	0.37279353	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	223.23529	0.0	0.364799	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	225.0	66.630516	0.8870653	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	226.76471	0.0	0.3486568	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	228.52942	66.274155	0.479966	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	230.29411	66.27139	0.33861622	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	232.05882	65.98573	0.14112845	001	2566	1.7647059	1.7647059	-0.18612671	1	1	2005	16602
-89.117645	233.82353	66.220566	0.42124262	001	2566	1.7647059	1.7647059	-0.18612671	1	1	2005	16602
-89.117645	235.58824	66.141556	0.796834	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-89.117645	237.35294	66.81921	0.035928905	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	239.11765	66.34879	0.29096296	001	2566	1.7647059	1.7647059	-0.18196106	1	1	2005	16602
-89.117645	240.88235	66.71881	0.039257795	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	246.17647	66.63778	0.12917367	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	247.94118	66.57347	0.23139927	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	249.70589	66.69668	0.5124279	001	2566	1.7647059	1.7647059	-0.18612671	1	1	2005	16602
-89.117645	251.47058	66.52836	0.13825312	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-89.117645	270.88235	67.02513	0.29063335	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	281.47058	67.11232	0.41928837	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	341.47058	67.22676	0.24020526	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	343.2353	0.0	0.23253432	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	345.0	67.28563	0.6721375	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	346.7647	0.0	0.22038099	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	348.52942	0.0	0.6548271	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-89.117645	350.29413	0.0	0.21131209	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	352.05884	0.0	0.2076346	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
